name,category_list,market,status,country_code,city,Cluster,SubCluster,SubCluster_Name,funding_total_usd,funding_rounds,early_stage_funding,venture,debt_financing,private_equity,stage_level,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio
Leader Technologies,|Software|, Software ,operating,USA,Lewis Center,0,2,Small seed-stage,800000.0,1.0,800000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LeaderNation,|Enterprise Software|, Enterprise Software ,operating,USA,New York,0,2,Small seed-stage,60000.0,1.0,60000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LeadFerret,|Sales and Marketing|Recruiting|Big Data|Lead Generation|, Lead Generation ,operating,USA,Calabasas,0,2,Small seed-stage,250000.0,1.0,250000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LeadFire,|Search|, Search ,operating,,,0,1,Small / early venture-backed,5000000.0,1.0,0.0,5000000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LeadSift,|Social Media Marketing|Enterprise Software|, Enterprise Software ,operating,CAN,Halifax,0,2,Small seed-stage,1099309.0,1.0,1099309.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
"LeadSpend, Inc.",|Personal Health|Email Marketing|Email|Messaging|, Email Marketing ,operating,USA,New York,0,2,Small seed-stage,250000.0,1.0,250000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Leaf,|Analytics|Reviews and Recommendations|Social Media|Offline Businesses|Finance|Apps|Point of Sale|Restaurants|Retail|E-Commerce|Curated Web|, Offline Businesses ,operating,USA,Cambridge,0,1,Small / early venture-backed,26000000.0,2.0,6000000.0,20000000.0,0.0,0.0,0,0.23076923076923078,0.7692307692307693,0.0,0.0
LEAFER,|Design|, Design ,operating,PRT,Porto,0,2,Small seed-stage,40000.0,1.0,40000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Lealta Media,|E-Commerce|, E-Commerce ,operating,USA,Sunnyvale,0,1,Small / early venture-backed,1560000.0,1.0,0.0,1560000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Lean Launch Ventures,|Health and Wellness|Entrepreneur|Startups|Enterprise Software|, Startups ,operating,USA,Westport,0,2,Small seed-stage,200000.0,1.0,200000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Lean Train,|Education|, Education ,operating,CHL,Santiago,0,2,Small seed-stage,40000.0,1.0,40000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LeanData,|Software|, Software ,operating,USA,Sunnyvale,0,1,Small / early venture-backed,5100000.0,1.0,0.0,5100000.0,0.0,0.0,1,0.0,1.0,0.0,0.0
Leanplum,|Marketing Automation|Mobile Commerce|Analytics|Apps|Games|Optimization|Mobile|, Mobile Commerce ,operating,USA,San Francisco,0,1,Small / early venture-backed,5625000.0,2.0,825000.0,4800000.0,0.0,0.0,1,0.14666666666666667,0.8533333333333334,0.0,0.0
LeanStream Media,|Software|, Software ,closed,USA,Westminster,0,1,Small / early venture-backed,530000.0,1.0,0.0,530000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Leap,|Social Games|Photography|Mobile|Social Media|, Mobile ,closed,,,0,2,Small seed-stage,25000.0,1.0,25000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Leap,|Sports|, Sports ,operating,BGR,Sofia,0,0,Early-stage multi-round,68497.0,2.0,68497.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Leap Medical,|Biotechnology|, Biotechnology ,operating,CAN,Montréal,0,2,Small seed-stage,1010000.0,1.0,1010000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Leapfactor,|Software|, Software ,operating,USA,Miami,0,0,Early-stage multi-round,2854130.0,3.0,2470000.0,384130.0,0.0,0.0,0,0.8654125775630402,0.13458742243695979,0.0,0.0
Leapforce,|Freelancers|Machine Learning|Search|, Freelancers ,operating,USA,Pleasanton,0,2,Small seed-stage,200000.0,1.0,200000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LEAPIN Digital Keys,|Wireless|Apps|Security|Mobile|, Apps ,operating,AUS,Gold Coast,0,0,Early-stage multi-round,50000.0,2.0,50000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Learn It Systems,|Education|, Education ,operating,USA,Baltimore,0,1,Small / early venture-backed,4100000.0,1.0,0.0,4100000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Learn with Homer,|Mobile|iPad|Kids|Apps|Education|, Apps ,,USA,Brooklyn,0,2,Small seed-stage,3440000.0,1.0,3440000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Learncafe,|Education|, Education ,operating,BRA,Belo Horizonte,0,2,Small seed-stage,500000.0,1.0,500000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Learndot,|Education|, Education ,operating,CAN,Vancouver,0,0,Early-stage multi-round,610547.0,3.0,610547.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Learnerator,|Education|, Education ,operating,,,0,2,Small seed-stage,300000.0,1.0,300000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
