name,category_list,market,funding_total_usd,status,country_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at,venture,debt_financing,private_equity,stage_level,early_stage_funding,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio,log_funding_total_usd,log_funding_rounds,log_early_stage_funding,log_venture,log_debt_financing,log_private_equity,SubCluster
I Love QC,|Manufacturing|, Manufacturing ,500000.0,operating,GBR,Belfast,1.0,2012-01-01,2013-11-01,2013-11-01,0.0,0.0,0.0,0,500000.0,1.0,0.0,0.0,0.0,13.122365377402328,0.6931471805599453,13.122365377402328,0.0,0.0,0.0,2
i'mma,|E-Commerce|, E-Commerce ,125000.0,closed,IND,Mumbai,1.0,2013-08-10,2013-07-08,2013-07-08,0.0,0.0,0.0,0,125000.0,1.0,0.0,0.0,0.0,11.736077016252437,0.6931471805599453,11.736077016252437,0.0,0.0,0.0,2
I'mOK,|Gamification|Games|Location Based Services|Kids|Parenting|Apps|iPhone|Mobile|, Location Based Services ,100001.0,operating,,,1.0,2010-10-01,2011-02-02,2011-02-02,100001.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,11.512945464770231,0.6931471805599453,0.0,11.512945464770231,0.0,0.0,1
I-CAN Systems,|Enterprise Software|, Enterprise Software ,9670000.0,operating,ARE,Dubai,1.0,2010-09-28,2010-09-29,2010-09-29,0.0,0.0,0.0,0,9670000.0,1.0,0.0,0.0,0.0,16.08453897084209,0.6931471805599453,16.08453897084209,0.0,0.0,0.0,2
I-DISPO,|Online Scheduling|Network Security|Small and Medium Businesses|Local Search|Service Providers|Local|Curated Web|, Online Scheduling ,103403.0,operating,,,1.0,2010-07-31,2011-03-01,2011-03-01,0.0,0.0,0.0,0,103403.0,1.0,0.0,0.0,0.0,11.546398925027766,0.6931471805599453,11.546398925027766,0.0,0.0,0.0,2
i-Human Patients,|Health Care Information Technology|Medical Professionals|Education|, Medical Professionals ,2039305.0,operating,USA,Sunnyvale,1.0,2012-01-01,2012-12-26,2012-12-26,0.0,0.0,0.0,0,2039305.0,1.0,0.0,0.0,0.0,14.528120111862155,0.6931471805599453,14.528120111862155,0.0,0.0,0.0,2
I-lighting,|Software|, Software ,100000.0,operating,USA,North East,1.0,,2013-01-01,2013-01-01,0.0,0.0,0.0,0,100000.0,1.0,0.0,0.0,0.0,11.51293546492023,0.6931471805599453,11.51293546492023,0.0,0.0,0.0,2
i-marker,|QR Codes|Mobile|Search|, Search ,200000.0,operating,,,1.0,2014-05-04,2014-06-01,2014-06-01,0.0,0.0,0.0,0,200000.0,1.0,0.0,0.0,0.0,12.206077645517674,0.6931471805599453,12.206077645517674,0.0,0.0,0.0,2
I-Mob Holdings,|Mobile|, Mobile ,1110000.0,operating,GBR,Beaconsfield,1.0,,2006-04-01,2006-04-01,1110000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,13.919871474189012,0.6931471805599453,0.0,13.919871474189012,0.0,0.0,1
I-Pulse,|Biotechnology|, Biotechnology ,45040000.0,operating,SGP,Singapore,1.0,2007-01-01,2010-09-27,2010-09-27,45040000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,17.623061563998196,0.6931471805599453,0.0,17.623061563998196,0.0,0.0,1
I-Tooling Manufacturing Group,|Manufacturing|, Manufacturing ,2930000.0,operating,,,1.0,,2009-07-23,2009-07-23,2930000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,14.89051332229012,0.6931471805599453,0.0,14.89051332229012,0.0,0.0,1
i.am.plus electronics,|Hardware + Software|, Hardware + Software ,6000000.0,operating,USA,Los Angeles,1.0,,2014-03-13,2014-03-13,6000000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,15.607270193858982,0.6931471805599453,0.0,15.607270193858982,0.0,0.0,1
